Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,E,25.7,17.8,22.1,13,354
CADILLAC,SRX,SUV - STANDARD,3.6,6,A,X,14.3,9.8,12.3,23,283
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,A,X,14.8,10.4,12.8,22,294
CADILLAC,XTS,FULL-SIZE,3.6,6,A,X,13.6,8.6,11.4,25,262
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,A,X,14,9.1,11.8,24,271
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,A,Z,14.8,9.8,12.6,22,290
CHEVROLET,CAARO,COMPACT,3.6,6,A,X,13.2,8.7,11.2,25,258
CHEVROLET,CAARO,COMPACT,3.6,6,M,X,14.2,8.6,11.7,24,269
CHEVROLET,CAARO 2LS,COMPACT,3.6,6,A,X,12.7,7.9,10.5,27,242
CHEVROLET,CAARO SS,COMPACT,6.2,8,A,Z,15.3,9.8,12.8,22,294
CHEVROLET,CAARO SS,COMPACT,6.2,8,M,Z,15,9.9,12.7,22,292
CHEVROLET,CAARO ZL1,COMPACT,6.2,8,A,Z,19.7,12.9,16.6,17,382
CHEVROLET,CAARO ZL1,COMPACT,6.2,8,M,Z,16.7,12.5,14.8,19,340
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,A,Z,14.9,8.5,12,24,276
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M,Z,13.7,8.2,11.2,25,258
CHEVROLET,CRUZE,MID-SIZE,1.4,4,A,X,9.1,6.3,7.8,36,179
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M,X,9.1,6.3,7.8,36,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,A,X,10.5,6.7,8.8,32,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M,X,9.5,6.5,8.2,34,189
CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,A,D,8.7,5.1,7.1,40,192
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A,X,9.1,6,7.7,37,177
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M,X,8.4,5.6,7.1,40,163
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A,X,10.5,7.3,9.1,31,209
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,X,13.9,9.6,12,24,276
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,E,18.8,13.1,16.2,17,259
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A,X,11.5,8.2,10,28,230
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,X,14.8,9.9,12.6,22,290
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,E,19.8,13.6,17,17,272
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A,X,17.1,12.7,15.1,19,347
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,X,18,13.4,15.9,18,366
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,E,23.5,17.7,20.9,14,334
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,E,23.7,18.8,21.5,13,344
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,X,18.6,13.9,16.5,17,380
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,E,23.9,18.5,21.5,13,344
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,E,25.3,19.3,22.6,12,362
CHEVROLET,EXPRESS 1500 PAENGER,VAN - PAENGER,5.3,8,A,X,18.6,13.9,16.5,17,380
CHEVROLET,EXPRESS 1500 PAENGER,VAN - PAENGER,5.3,8,A,E,23.9,18.5,21.5,13,344
CHEVROLET,EXPRESS 1500 PAENGER AWD,VAN - PAENGER,5.3,8,A,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS 1500 PAENGER AWD,VAN - PAENGER,5.3,8,A,E,25.3,19.3,22.6,12,362
CHEVROLET,EXPRESS 2500 PAENGER,VAN - PAENGER,4.8,8,A,X,21.1,14.2,18,16,414
CHEVROLET,EXPRESS 2500 PAENGER,VAN - PAENGER,6,8,A,X,21.9,15,18.8,15,432
CHEVROLET,EXPRESS 2500 PAENGER,VAN - PAENGER,6,8,A,E,30,20.4,25.7,11,411
CHEVROLET,EXPRESS 3500 PAENGER,VAN - PAENGER,4.8,8,A,X,21.3,14.3,18.2,16,419
CHEVROLET,EXPRESS 3500 PAENGER,VAN - PAENGER,6,8,A,X,22.1,15,18.9,15,435
CHEVROLET,EXPRESS 3500 PAENGER,VAN - PAENGER,6,8,A,E,30.2,20.5,25.8,11,413
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,A,X,11.3,7.5,9.6,29,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,A,X,12.6,8.2,10.6,27,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,A,E,16.7,11.3,14.3,20,229
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,A,X,10,7,8.7,32,200
CHEVROLET,MALIBU,MID-SIZE,2,4,A,Z,11.5,7.9,9.9,29,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,A,X,9.3,6.4,8,35,184
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,A,X,12.2,8.6,10.6,27,244
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M,X,11.8,8.3,10.2,28,235
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,X,13.4,9.9,11.8,24,271
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,E,18.9,14.2,16.8,17,269
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.6,10.3,12.7,22,292
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.5,13.7,16.9,17,270
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.3,11.4,14.1,20,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.2,10.6,12.6,22,290
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,E,20,15.1,17.8,16,285
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.9,10.6,13,22,299
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.9,14.2,17.3,16,277
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.4,11.7,14.3,20,329
CHEVROLET,SONIC,COMPACT,1.4,4,A,X,9.1,6.7,8,35,184
CHEVROLET,SONIC,COMPACT,1.4,4,M,X,8.5,6.2,7.5,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,A,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.8,4,M,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC RS,COMPACT,1.4,4,A,X,9.4,7,8.3,34,191
CHEVROLET,SONIC RS,COMPACT,1.4,4,M,X,8.8,7,8,35,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,A,X,9.1,6.7,8,35,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M,X,8.5,6.2,7.5,38,172
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,A,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,A,X,9.4,7,8.3,34,191
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M,X,8.8,7,8,35,184
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,A,X,7.7,6,6.9,41,159
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M,X,7.6,6,6.9,41,159
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A,X,16,11.1,13.8,20,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A,X,16,11.1,13.8,20,317
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A,X,16,11.1,13.8,20,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A,X,16,11.1,13.8,20,317
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,15,294
CHEVROLET,TRAERSE,SUV - STANDARD,3.6,6,A,X,14.3,9.9,12.3,23,283
CHEVROLET,TRAERSE AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,22,290
CHEVROLET,TRAX,SUV - SMALL,1.4,4,A,X,9.4,7.1,8.4,34,193
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M,X,9.1,6.8,8.1,35,186
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,A,X,10,7.8,9,31,207
CHRYSLER,300,FULL-SIZE,3.6,6,A,X,12.4,7.7,10.3,27,237
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A,X,11.7,8.2,10.1,28,232
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A,X,12.9,8.1,10.7,26,246
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A,X,12.5,8.1,10.5,27,242
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A,E,17,11.2,14.4,20,230
